dfs.namenode.checkpoint.period 3600L
dfs.namenode.checkpoint.check.period 60L
dfs.ha.tail-edits.period 60L
dfs.ha.log-roll.period 120L
dfs.lock.suppress.warning.interval 10000L
dfs.datanode.directoryscan.interval 21600L
dfs.heartbeat.interval 3L
dfs.datanode.directoryscan.interval 21600L
dfs.client.datanode-restart.timeout 30L
dfs.federation.router.dn-report.cache-expire $l3
dfs.federation.router.dn-report.time-out $l1
dfs.federation.router.heartbeat-state.interval $l1
dfs.federation.router.quota-cache.update.interval 60000L
dfs.federation.router.store.router.expiration $l2
dfs.federation.router.cache.ttl $l0
dfs.federation.router.safemode.expiration $l5
dfs.federation.router.safemode.extension $l2
dfs.federation.router.cache.ttl $l0
dfs.datanode.bp-ready.timeout 20L
dfs.heartbeat.interval 3L
dfs.heartbeat.interval 3L
dfs.blockreport.initialDelay 0L
dfs.webhdfs.socket.read-timeout 60000L
dfs.webhdfs.socket.connect-timeout 60000L
dfs.datanode.disk.check.timeout "10m"
dfs.disk.balancer.plan.valid.interval "1d"
dfs.datanode.outliers.report.interval "30m"
dfs.datanode.disk.check.timeout "10m"
dfs.datanode.disk.check.min.gap "15m"
dfs.datanode.disk.check.timeout "10m"
dfs.datanode.disk.check.min.gap "15m"
